Sample,Country,Age,Method,Sex,Informative_sequence_count (Mbp)_of_library,Expected_genomic_coverage_of_library,Expected_genomic_coverage_of_input,Endogenous_DNA_shotgun,Nr_rawreads,Nr_mapped_reads,Endogenous_DNA,Mean_length_mapped_reads,All_mapped_reads_to_104k_80bp,All_mapped_reads_to_104k_121bp,All_mapped_reads_to_232k_80bp,All_non_comparable_mapped_reads,All_MT_reads,Mean_cov_of_104k_80bp_incdup,Mean_cov_of_104k_SNPsite_incdup,at_least_1X_of_target_104k_SNPsite_incdup,at_least_2X_of_target_104k_SNPsite_incdup,at_least_3X_of_target_104k_SNPsite_incdup,at_least_4X_of_target_104k_SNPsite_incdup,at_least_5X_of_target_104k_SNPsite_incdup,MT_to_nuclear_ratio_dedup,Nr_dedup_mapped_reads,Mean_cov_of_target_232k_SNPsite,Mean _cov_of_target_104k_80bp_dedup,Mean_cov_of_original_panel_dedup,Mean_cov_of_target_104k_SNPsite_dedup,GC_dedup_mapped_reads,5_Prime_C>T_1st_base_on-target_104k_80bp_dedup
KCZ001,PL,717,Twist,female,5905.381225,5.272661808,0.527266181,0.86,29891290,7750067,25.93,50.36,681859,698342,1674750,1009374,32,3.9,5.1,0.773,0.664,0.564,0.474,0.397,0.3,3044607,2,1.4,1.5,1.8,44,15.5
KCZ003,PL,282,Twist,male,24156.6122,21.56840375,2.156840375,9.76,116235817,91367252,78.61,57.44,8163945,8383654,19321062,11376826,4046,49.1,66,0.997,0.995,0.993,0.99,0.987,8.2,15075964,12.5,9.6,10,12,44,6.6
KCZ004,PL,673,Twist,female,35125.70064,31.36223272,3.136223272,1.45,41952186,2101642,5.01,50.35,162596,167250,400732,242790,89,0.9,1.2,0.5,0.273,0.143,0.076,0.04,2.4,1470928,0.9,0.6,0.7,0.8,44,14.1
KCZ006,PL,427,Twist,male,31238.16224,27.89121628,2.789121628,4.04,38014687,23841260,62.72,61.54,1884483,1941688,4570489,2743211,821,11.6,15.4,0.981,0.956,0.924,0.886,0.842,3.2,8858269,7.5,5.6,6,7.1,43,9.8
KCZ008,PL,350,Twist,male,13284.07993,11.86078565,1.186078565,1.66,17738797,8095517,45.64,57,683596,702431,1666361,1001600,461,4.1,5.4,0.875,0.751,0.628,0.516,0.417,5.2,3869237,3,2.2,2.4,2.8,44,7.8
KCZ009,PL,922,Twist,male,31199.80279,27.85696678,2.785696678,21.96,33079268,26670767,80.63,59.82,2222708,2283822,5304511,3142917,1742,13.6,18.2,0.991,0.978,0.958,0.932,0.9,7.3,9841593,8.6,6.5,6.8,8.3,44,15.1
KCZ010,PL,270,Twist,male  ,24453.50679,21.8334882,2.18334882,4.62,24320224,15280376,62.83,57.7,1170699,1202538,2809533,1670673,461,6.9,9.3,0.962,0.909,0.839,0.76,0.678,2.8,6691856,5.2,3.9,4.1,5,44,11.2
KCZ011,PL,647,Twist,male,12084.36055,10.78960764,1.078960764,7.29,29395891,21137193,71.91,52.06,1814973,1859959,4375449,2605462,426,10.4,14.2,0.964,0.926,0.882,0.833,0.78,2.6,6491369,4.7,3.5,3.7,4.5,45,11.7
KCZ012,PL,773,Twist,male,31091.93407,27.76065542,2.776065542,22.16,238524983,199674079,83.71,55.1,16889637,17345269,39821169,23387164,17244,99.9,134.8,0.999,0.998,0.998,0.997,0.996,22.3,22487021,15.3,12.1,12.3,15,46,12.2
KCZ016,PL,472,Twist,male,42196.1501,37.67513402,3.767513402,1.9,18634528,1925063,10.33,53.66,172984,177161,416451,247644,16,1,1.4,0.55,0.31,0.167,0.089,0.047,0.4,1367034,1,0.7,0.8,1,43,11.5
NCP001,B,1639,Twist,female,25869.98947,23.09820489,2.309820489,19.33,125758674,97762189,77.74,56.07,7945092,8151156,18810973,11071945,1183,47.6,64.2,0.997,0.994,0.992,0.989,0.986,2.9,14257915,10.6,8.3,8.4,10.4,45,31
NCP002,B,1872,Twist,male ,7843.001183,7.002679627,0.700267963,3.09,18392638,9691713,52.69,54.17,811115,832306,1924265,1134341,171,4.8,6.5,0.873,0.769,0.666,0.569,0.481,2.2,3640888,2.7,2,2.1,2.6,44,32.8
NDS001,PL,NA,Twist,female,26706.21141,23.84483162,2.384483162,9.02,18935683,15075626,79.61,53.58,1270935,1302692,3124590,1885412,947,7.2,9.8,0.955,0.899,0.833,0.759,0.682,5.3,6605340,5.3,3.7,4,4.8,44,6.2
TPC001,B,197,Twist,male,106083.6539,94.71754815,9.471754815,31.08,116842778,97471386,83.42,58.17,9086894,9320450,21249919,12396581,22846,55.1,74.2,0.998,0.997,0.996,0.995,0.993,29.4,25007987,24.2,18.7,19.2,23.6,45,5.4
TPC003,B,164,Twist,female,16001.84324,14.28736004,1.428736004,3.49,26174833,13863002,52.96,54.71,921933,950756,2222185,1329075,492,5.4,7.2,0.918,0.825,0.725,0.626,0.531,3.8,5559200,3.4,2.5,2.7,3.3,46,8.3
TPC019,B,NA,Twist,male,6719.384251,5.999450224,0.599945022,4.13,91807458,51545834,56.15,45.02,5675311,5805434,13182636,7637448,1174,30.6,40.9,0.719,0.705,0.689,0.674,0.659,4.6,5554397,1.7,1.3,1.4,1.5,45,6.2
VKP001,B,883,Twist,male,165940.1926,148.1608862,14.81608862,24.73,27637267,23903262,86.49,62.94,2070288,2130626,4955051,2945101,318,12.7,16.9,0.99,0.975,0.953,0.925,0.89,1.2,11175163,10.7,7.8,8.4,10.1,43,14.6
VKP002,B,1138,Twist,male,40551.28637,36.20650569,3.620650569,10.61,27948223,20269357,72.52,58.43,1647989,1692062,3944615,2340699,1326,10,13.6,0.981,0.953,0.916,0.869,0.817,7.9,7645170,6.7,5,5.2,6.4,43,23.4
VKP003,B,1159,Twist,female,36727.78709,32.79266705,3.279266705,9.57,24165323,17804219,73.68,59.65,1356524,1394066,3287261,1968279,120,8.3,11.2,0.976,0.939,0.888,0.826,0.757,0.7,7242070,6.2,4.5,4.8,5.8,43,21.4
